id,text,true_label,bert_label,bert_prob_fake,bert_prob_real
54,"""Medical Product Alert N°3/2020""",0,0,0.0154956505,0.98450434
55,ÒJoe Exotic tests positive for coronavirus in prison. ItÕs been confirmed.Ó,1,1,0.99926084,0.0007391868
56,Get Your Clinic Ready for Coronavirus Disease 2019 (COVID-19),0,0,0.00047960482,0.9995204
57,Trump: Toughest COVID-19 Weeks To Come,0,0,0.0002878779,0.99971205
58,"Speaking of his restriction on travel from China, President Donald Trump claims",1,1,0.97515196,0.024848042
59,"If the coronavirus gets in your mouth, Òdrinking water or other liquids will wash them down through your esophagus and into the stomach. Once there, your stomach acid will kill all of the virus.Ó",1,1,0.9991689,0.000831121
60,No Hydroxychloroquine Benefit in Randomized COVID-19 Trial,0,0,0.0003481688,0.9996518
61,Get Your Community- and Faith-Based Organizations Ready for Coronavirus Disease 2019,0,0,0.0003966733,0.99960333
62,What It’s Like to Be an ER Doctor During the Coronavirus Outbreak,0,0,0.0002989538,0.999701
63,CBS aired wrong video footage of a coronavirus hospital.,1,1,0.99917334,0.00082660565
64,"""Advice on the use of point-of-care immunodiagnostic tests for COVID-19""",0,0,0.00091929216,0.99908066
65,ÒSame little boy died of COVID-19 in three different countries. Still donÕt believe the media is #fakenews?Ó,1,1,0.99903226,0.0009677934
66,"""National Ethics Committees and COVID-19""",0,0,0.0032225887,0.9967775
67,FDA Approves Hydroxychloroquine Trial for COVID-19,0,0,0.0016547684,0.99834526
68,"Nursing Homes Prepared for Pandemics, but COVID-19 Reveals Gaps",0,0,0.00028337905,0.9997166
69,COMMENTARY: Life in Jail Worse During COVID-19,0,0,0.00026591826,0.9997341
70,Forget the Toilet Seat — Shower Curtains Have Most Germs in Your Bathroom,0,0,0.001117779,0.99888223
71,Coronavirus Social: Two Digital Tributes and a Celebration,0,0,0.00036057594,0.9996394
72,"Coronavirus Daily Digest: April 7, 2020",0,0,0.00033406547,0.999666
73,Can the U.S. Safely ‘Reopen’ on May 1? Here’s What the Health Experts Think,0,0,0.0008235167,0.99917644
74,Scientists Seek Answers to Hypertension-COVID-19 Link,0,0,0.00025190003,0.99974805
75,Could Your Fitbit Help Detect the Flu?,0,0,0.035729837,0.9642701
76,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,1,1,0.99903405,0.00096597354
77,COVID-19 and Cruise Ship Travel,0,0,0.00025337515,0.9997466
78,Investigational chimp adenovirus MERS-CoV vaccine protects monkeys,0,0,0.0004946221,0.9995054
79,"""I’m pregnant. How can I protect myself against COVID-19?""",0,0,0.0018354075,0.9981646
80,Ò59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.Ó,1,1,0.9992543,0.00074570696
81,Pictures and reports of Òempty hospitalsÓ prove COVID-19 spread is Òfake crisis for real government planned agendas.Ó,1,1,0.99913293,0.00086709275
82,Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.,1,1,0.9991222,0.00087783457
83,The NBA is asking President Donald Trump to Òresign or weÕll never play again.Ó,1,1,0.99923694,0.0007630523
84,COVID-19 'Infodemic': Researchers Step Up to Stop the Spread,0,0,0.0002646226,0.9997354
85,"""Parcels from China can spread coronavirus""",1,1,0.9987872,0.0012127946
86,Health Education Campus Will Temporarily Convert As a Medical Surge Hospital Location,0,0,0.00026365378,0.99973637
87,"Higher Temps, Humidity May Help Against COVID",0,0,0.00045329178,0.9995467
88,"""COVID-19 in a Long-Term Care Facility — King County, Washington, February 27–March 9, 2020""",0,0,0.0005975296,0.9994025
89,"""Are antibiotics effective in preventing or treating the COVID-19?""",0,0,0.0007754368,0.99922454
90,People Who Vape May Face Higher Health Risks with COVID-19,0,0,0.0007625729,0.9992374
91,"The US $1,200 coronavirus relief checks this year are Òjust an advance on your next tax return. É Next year, youÕre automatically going to owe $1,200 come tax season.Ó",1,1,0.9991904,0.0008096062
92,"""End in sight, but flare-ups likely in the Ebola outbreak in the Democratic Republic of the Congo""",0,0,0.0037878482,0.9962121
93,"A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was ÒreadyÓ to be administered.",1,1,0.9991825,0.0008174256
94,From Protests to Parties: Why Gathering in Groups Is a Terrible Idea Right Now,0,0,0.0002926641,0.9997073
95,"Ask an Expert: An Epidemiologist Answers Our Questions About the Coronavirus, Quarantines, and Face Masks",0,0,0.00045000704,0.9995499
96,"""Should I worry about COVID-19?""",0,0,0.0013842612,0.99861574
97,"Screen Time Doesn’t Hurt Kids’ Social Skills, Study Finds",0,0,0.0003194362,0.99968064
98,USDA Meat Inspector Dies of Coronavirus,0,0,0.00069138396,0.9993086
99,President TrumpÕs use of data for deaths from swine flu and seasonal flu.,1,1,0.9991756,0.0008244118
100,Scientists Òare shocked to discover that weed kills coronavirus.Ó,1,1,0.9992872,0.0007128338
101,Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,1,1,0.99850297,0.0014970724
102,President Donald Trump is Òannouncing tomorrow that the U.S. is going into quarantine for the next 14 days.Ó,1,1,0.9991819,0.00081809267
103,Knowing More About a Virus Threat May Not Satisfy You,0,0,0.000861306,0.9991387
104,State Lines Erased for Doctors During COVID-19,0,0,0.0005498307,0.99945015
105,Communication Toolkit for Transportation Partners to Inform Road Travelers,0,0,0.00023629054,0.99976367
106,"ÒNow, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.Ó",1,1,0.9991903,0.0008097359
107,COVID-19: TB vaccine to be trialed in healthcare staff,0,0,0.00023091192,0.99976915
108,Coronavirus Rumor Mill Rampant With Bogus News,0,0,0.00043160003,0.9995684
109,Johnson & Johnson to Test COVID Vaccine Candidate,0,0,0.00032431097,0.99967575
110,"""World Tuberculosis Day 2020""",0,0,0.004869885,0.9951302
111,Three Countries Have Kept Coronavirus in Check; Here's How They Did It,0,0,0.0024014816,0.99759847
112,How to Advocate for a Family Member Hospitalized with COVID-19,0,0,0.0002569077,0.99974304
113,"""WHO advice - staying safe during season of religious and cultural events, amid the COVID-19 outbreak""",0,0,0.00040010462,0.9995999
114,U.S. Government to Increase PPE Shipments to Nursing Homes,0,0,0.0006673905,0.9993326
115,"Coronavirus Spreads Quickly and Sometimes Before People Have Symptoms, Study Finds",0,0,0.00044105362,0.999559
116,Mitigate Healthcare Personnel Staffing Shortages,0,0,0.00022996143,0.99977
117,"""First UN solidarity flight departs Addis Ababa carrying vital COVID-19 medical supplies to all African nations""",0,0,0.00073287374,0.99926716
118,ÒPeople are going door to door in Colorado Springs stating they are COVID-19 testing so they can rob people!Ó,1,1,0.99910635,0.00089358777
119,U.S. Marks Deadliest Day of Coronavirus Crisis,0,0,0.00029898374,0.999701
120,CDC Adds Six Symptoms to COVID-19 List,0,0,0.00029962236,0.9997004
121,COMMENTARY: COVID-19 Diary Day 8: I'm a 'Hugger.' Now I'm Socially Distant.,0,1,0.98519707,0.014802985
122,"""Are specialized or referral hospitals required for patients with suspected or confirmed 2019-nCoV infection when hospitalization is needed?""",0,0,0.0006026809,0.9993973
123,"The coronavirus test costs $3,200.",1,1,0.99900275,0.0009972597
124,U.S. State and Local Public Health Laboratories Reporting to CDC,0,0,0.00027665176,0.9997234
125,Travel: Frequently Asked Questions and Answers,0,0,0.00024568106,0.99975437
126,"""World Blood Donor Day 2020""",0,0,0.009891552,0.9901085
127,"""WHO delivers advice and support for older people during COVID-19""",0,0,0.00049855636,0.99950147
128,Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,1,1,0.99881566,0.0011843449
129,Coronavirus is fake or a made-up ploy by 5G.,1,1,0.99912244,0.00087756314
130,"COVID-19 Timeline: What Outbreak Could Look Like in 3 Months, 6 Months, 1 Year",0,0,0.00031056788,0.99968946
131,US President Donald Trump has suggested studying the injection of disinfectant as a COVID-19 treatment.,1,1,0.99901986,0.0009801559
132,Exposing a Virus's Hiding Place Reveals New Potential Vaccine,0,0,0.00038824338,0.9996118
133,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis.",1,1,0.99916923,0.0008308198
134,"""Joint Leader's statement - Violence against children: A hidden crisis of the COVID-19 pandemic""",0,0,0.00034177254,0.9996582
135,People with Diabetes May Have Higher Risk for COVID-19: Here’s What to Do,0,0,0.000287489,0.9997125
136,Dental Settings,0,0,0.0002633086,0.9997367
137,Scientists claim the Wuhan coronavirus is an HIV-1 engineered Òsuper weapon.Ó,1,1,0.99926645,0.00073356065
138,"Elisa Granato, the first volunteer in the first Europe human trial of a COVID-19 vaccine, has died.",1,1,0.9990601,0.00093996455
139,Coronavirus Outbreak Prompted Gun And Ammunition Policy Changes At Walmart.,1,1,0.99901485,0.0009851449
140,27 coronavirus myths busted,0,0,0.0004821424,0.9995179
141,"""Drinking methanol, ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous""",0,0,0.018676672,0.98132336
142,DIY Masks: Worth the Risk? Researchers Are Conflicted,0,0,0.00026886322,0.9997311
143,Suggestion that Trump urged sick people to get out and vote during COVID-19 pandemic.,1,1,0.9981639,0.0018361694
144,Respirator Masks - In Short Supply,0,0,0.00031735658,0.99968266
145,People are handing out masks Òdoused with chemicals which knocks you out coldÓ so they can rob you.,1,1,0.9991604,0.0008396039
146,Could dogs help detect COVID-19?,0,0,0.0012980729,0.99870193
147,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,1,1,0.9991855,0.00081453007
148,Mild COVID-19 Often Only Shows Gastro Symptoms,0,0,0.00039722468,0.99960285
149,Frequently Asked Questions about Hand Hygiene for Healthcare Personnel Responding to COVID-2019,0,0,0.00022395852,0.99977607
150,"""Can I catch COVID-19 from the feces of someone with the disease?""",0,0,0.0015128447,0.9984871
151,Don’t Put Off Talking to Your Roommate About Social Distancing,0,0,0.0007321352,0.9992679
152,"""Is there a model for setting up an isolation ward and types and products and health requirements?""",0,0,0.00052063714,0.99947935
153,AAO Urges Ophthalmologists to Provide Emergency Care Only,0,0,0.0019198816,0.99808013
154,"Coronavirus Daily Digest: March 30, 2020",0,0,0.00033429227,0.99966574
155,"COVID-19 Daily: More Will Die, First Antibody Test Authorized",0,0,0.00033699936,0.999663
156,Drinking a bleach solution will prevent you from getting the coronavirus.,1,1,0.9990828,0.00091724796
157,"COVID-19 Daily: Remdesivir Results, Resident Abuse",0,0,0.00023913219,0.9997609
158,"""How does the International Health Regulations Emergency Committee work?""",0,0,0.0004216645,0.9995783
159,Graphics and Images,0,0,0.000429134,0.9995709
160,A post says the coronavirus can be slowed or stopped with the Òimmediate widespread use of high doses of vitamin C.Ó,1,1,0.9992442,0.00075580674
161,"Amid PPE Shortage, Clinicians Face Harassment, Firing for Self-Care",0,0,0.00033429038,0.99966574
162,CDC in Action,0,0,0.00029569538,0.9997043
163,Tweets Show America Following COVID-19 Guidelines,0,0,0.000491016,0.999509
164,Contact Tracing,0,0,0.0004834146,0.9995166
165,New COVID-19 Tracking App May Find 'Hotspots',0,0,0.00041942194,0.99958056
166,COVID-19 stands for ÒChinese Originated Viral Infectious Disease.Ó,1,1,0.99920887,0.0007911489
167,"""Home remedies can cure and protect against COVID-19""",1,0,0.0073555335,0.9926444
168,Man Fights to Get Family Out of China Amid Outbreak,0,0,0.00028517135,0.9997148
169,How the COVID-19 Outbreak Is Affecting Healthcare for People with Cancer,0,0,0.00024736585,0.9997526
170,CEO Resignations Are Linked To Global Conspiracy.,1,1,0.99872977,0.0012702813
171,COVID-19 Prompts 'Lifesaving' Policy Change for Opioid Addiction,0,0,0.00026097425,0.999739
172,"""Rinsing the nose with saline protects against coronavirus""",1,1,0.99861467,0.001385309
173,Homelessness and COVID-19 FAQs,0,0,0.00024430128,0.9997557
174,Get Ready for COVID-19,0,0,0.00067854184,0.99932146
175,"""#BeActive for the UN International Day of Sport for Development and Peace""",0,0,0.0013076426,0.99869233
176,"Cough, Fever, Fatigue? Head to CDC's Online Coronavirus Symptom Checker",0,0,0.00031665328,0.9996834
177,Interim Guidance on Management of Coronavirus Disease 2019 (COVID-19) in Correctional and Detention Facilities,0,0,0.00022815923,0.9997719
178,Public Health Leadership Paramount to Emerging Coronavirus Pandemic,0,0,0.0002326691,0.99976736
179,"""Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and Homes""",0,0,0.00031354738,0.9996865
180,Mystery Coronavirus from China: What to Know,0,0,0.00027967768,0.9997203
181,Authorities have identified that the international chemical-warfare terrorist ÔSamuel Whitcomb HydeÕ is behind the deadly China Ôcoronavirus.ÕÓ,1,1,0.9992192,0.0007807956
182,"Coronavirus Daily Digest: April 16, 2020",0,0,0.00033946842,0.9996605
183,Individual Response to COVID-19 'as Important' as Government Action,0,0,0.00024148248,0.99975854
184,"""WHO and Rakuten Viber fight COVID-19 misinformation with interactive chatbot""",0,0,0.0009969467,0.9990031
185,"""WHO supports fight to contain COVID-19 in Iraq""",0,0,0.00042623325,0.99957377
186,"The Need Is Great, but Is It Safe to Donate Blood During the COVID-19 Outbreak?",0,0,0.0035037599,0.99649626
187,COVID-19: Practical tips on staying safe,0,0,0.0002243815,0.9997756
188,"""I am a programme manager. What can I do to help people access contraception and family planning information and services?""",0,0,0.0006538535,0.9993461
189,A video posted on Facebook claiming that chloroquine and azithromycin are proven cures of COVID-19,1,1,0.996509,0.0034909453
190,"""Is wearing rubber gloves while out in the public effective in preventing the new coronavirus infection?""",0,0,0.0010745359,0.9989254
191,"""How large does a meeting or event need to be in order to be a “mass gathering”?""",0,0,0.0011600533,0.9988399
192,"""Can #2019nCoV be caught from a person who presents no symptoms? """,0,0,0.0011781714,0.9988218
193,COVID-19 and arthritis: Risks and precautions,0,0,0.00024429732,0.9997557
194,Asking This One Question May Help Slow Down Coronavirus Outbreak,0,0,0.00044039125,0.9995596
195,"""Is there a vaccine, drug or treatment for COVID-19?""",0,0,0.0007495257,0.9992505
196,Potential COVID-19 Plateau Seen in NY and NJ,0,0,0.0002640374,0.999736
197,Criteria for Return to Work for Healthcare Personnel with Confirmed or Suspected COVID-19 (Interim Guidance),0,0,0.00025716994,0.9997428
198,"""Is it safe to receive a letter or a package from China?""",0,0,0.001969578,0.99803036
199,The number of deaths from COVID-19 are exaggerated.,1,1,0.99896336,0.0010366051
200,Test for Coronavirus Antibodies Approved by FDA,0,0,0.00035773646,0.99964225
201,Want to Help COVID-19 Researchers? You Don’t Have to Leave Your Living Room,0,0,0.00035516205,0.9996449
202,"""Is there a special procedure regarding waste produced by patients with suspected or confirmed 2019-nCoV?""",0,0,0.00095059816,0.99904937
203,"Atomic Structures Mapped in Measles, Mumps, Flu and RSV",0,0,0.00041507414,0.999585
204,ÒSlices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation ofÓ the novel coronavirus.,1,1,0.9991936,0.00080637215
205,"""WHO Director-General calls on G20 to Fight, Unite, and Ignite against COVID-19""",0,0,0.0014574649,0.99854255
206,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1,1,0.9992466,0.0007534315
207,U.S. Vice President Pence urged people with coronavirus to go to the police.,1,1,0.9989606,0.0010393189
208,Remdesivir for COVID Study: Benefits Not Clear,0,0,0.00024515667,0.99975485
209,U.S. President Donald Trump or presidential candidate Joe Biden referred to the novel coronavirus pandemic as a time when Òpeople are dying that have never died before.Ó,1,1,0.9990802,0.0009198179
210,K-12 Schools and Childcare Programs,0,0,0.00031232744,0.9996877
211,Whether 60 Democrats voted against coronavirus stimulus bill.,1,1,0.998552,0.001447925
212,Coronavirus is caused by 5G.,1,1,0.9992238,0.00077620504
213,"""Statement of the Twenty-Fourth IHR Emergency Committee""",0,0,0.005674948,0.994325
214,IDSA: No Recommendations for COVID-19 Treatment for Now,0,0,0.00022713258,0.99977285
215,"Cats may be able to contract SARS-CoV-2, but evidence is limited",0,0,0.0061963866,0.9938036
216,"Protective masks can be effectively disinfected at home, study",0,0,0.00033622442,0.99966383
217,"""5G mobile networks DO NOT spread COVID-19""",0,0,0.009056575,0.9909435
218,Resources for State,0,0,0.0003258801,0.9996741
219,"""WHO updates COVID-19 dashboard with better data visualization""",0,0,0.00037072643,0.99962926
220,COVID-19 Practical Tips: U.S. Docs Share Clinical Strategies,0,0,0.00022028372,0.99977976
221,Ketogenic Diet Helps Tame Flu Virus,0,0,0.0004591387,0.9995409
222,"""Is it safe to receive a package from any area where COVID-19 has been reported?""",0,0,0.0012252838,0.9987747
223,Metastatic Cancer Linked to Worse Outcomes of COVID-19,0,0,0.00037049467,0.9996295
224,Publications,0,0,0.0009998631,0.99900013
225,Medicines that fights COVID-19: What to know,0,0,0.0002179611,0.999782
226,Assessing Risk Factors for Severe COVID-19 Illness,0,0,0.00021219105,0.99978787
227,Talking with children about Coronavirus Disease 2019,0,0,0.00028996338,0.99971
228,7 alternatives to toilet paper,0,0,0.00030751756,0.99969256
229,COVID May Trigger 'Cytokine Storm' in Some Cases,0,0,0.0011115649,0.99888843
230,"""ICC-WHO Joint Statement: An unprecedented private sector call to action to tackle COVID-19""",0,0,0.00096679345,0.9990332
231,Blood Clots Are Another Dangerous COVID-19 Mystery,0,0,0.00037782028,0.9996221
232,Video claiming you canÕt catch coronavirus.,1,1,0.9991492,0.0008508324
233,5G Technology believed to have caused the coronavirus.,1,1,0.99924386,0.0007561388
234,Clinicians Petition Government for National Quarantine,0,0,0.00028676496,0.99971324
235,Could Robots Be Deployed in Battle With COVID-19?,0,0,0.0009115696,0.9990884
236,"Coronavirus Striking Plenty of Young People, Too",0,0,0.0019613972,0.9980386
237,COVID-19: Dramatic Changes to Telepsychiatry Rules and Regs,0,0,0.0002708381,0.9997291
238,"""‘One World: Together At Home’ Global Special""",0,0,0.00090663484,0.9990934
239,"""How the Utah Jazz got 58 coronavirus tests when US testing is sluggish""",0,0,0.0041072094,0.99589276
240,Disinfectant-Linked Poisoning Rises Amid COVID-19,0,0,0.0012477909,0.99875224
241,Having a beard increases your chances of getting coronavirus.,1,1,0.9988424,0.0011575657
242,"""Statement on the 5th meeting of the International Health Regulations (2005) Emergency Committee for Ebola virus disease in the Democratic Republic of the Congo on 14 April 2020""",0,0,0.0003868528,0.9996132
243,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.",1,1,0.9990798,0.0009201957
244,"ÒChina is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and thatÕs why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.Ó",1,1,0.99925894,0.00074099615
245,"""What studies on treatment and prevention of COVID-19 with antiretrovirals are being planned?""",0,0,0.000533511,0.9994665
246,"""Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?""",0,0,0.00076031045,0.9992397
247,Coronavirus: Colleges to Empty Dorms for Patients,0,0,0.00029429593,0.99970573
248,"Donald Trump claims Joe Biden Òwas in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings and a 78% approval rating, the highest on record. His was lowest!Ó",1,1,0.9991574,0.00084252626
249,Standard Methods Rid Hospital Rooms of Coronavirus,0,0,0.0002599811,0.99974006
250,Clinical Care Guidance for Healthcare Professionals about Coronavirus (COVID-19),0,0,0.00024383074,0.99975616
251,Interim Guidance for Implementing Home Care of People Not Requiring Hospitalization for Coronavirus Disease 2019 (COVID-19),0,0,0.00023876403,0.9997613
252,"ÒThis lady here applied sanitizer to her hands/forearms and went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.Ó",1,1,0.9991678,0.00083223614
253,Information for Healthcare Professionals: COVID-19 and Underlying Conditions,0,0,0.00021893255,0.9997811
254,CDC Coronavirus Testing Decision To Haunt Nation,0,0,0.00023618422,0.9997638
255,100 American Flight Attendants Have COVID-19,0,0,0.001204991,0.99879503
256,Some COVID Patients Develop Guillain-Barre,0,0,0.00073348655,0.99926656
257,A post says Òhair weave and lace fronts manufactured in China may contain the coronavirus.Ó,1,1,0.9992772,0.00072288327
258,"""What care should be available during pregnancy and childbirth?""",0,0,0.0004207041,0.99957925
259,Portable Lab You Plug Into Your Phone Can Diagnose Illnesses Like Coronavirus,0,0,0.00056169555,0.99943835
260,Related Materials,0,0,0.00047011566,0.99952996
261,"""Can disposable medical face masks be sterilized and reused?""",0,0,0.0008081179,0.99919194
262,Guidance for U.S. Healthcare Facilities about Coronavirus (COVID-19),0,0,0.0003250848,0.9996749
263,Tiny airborne particles may carry the new coronavirus,0,0,0.0016643107,0.99833566
264,Coronavirus and Travel in the United States,0,0,0.000498031,0.99950194
265,Environmental Health Practitioners,0,0,0.00026795274,0.9997321
266,AmazonÕs Alexa says the government released the coronavirus.,1,1,0.9992323,0.0007677609
267,"""Can humans become infected with the COVID-19 from an animal source?""",0,0,0.0012485564,0.9987514
268,Caring for Someone Who Is Sick,0,0,0.00039614146,0.9996039
269,Cleveland Clinic Launches Campaign for Northeast Ohio Community to Help in COVID-19 Response,0,0,0.0002378724,0.9997621
270,COVID-19: First Data Confirm Neurologic Symptoms Common,0,0,0.00024199048,0.99975806
271,Antiviral Remdesivir Prevents Disease Progression in Monkeys With COVID-19,0,0,0.0009057291,0.99909425
272,Parasite Drug Shows Early Promise Against COVID-19,0,0,0.0003984675,0.99960154
273,Don't Ignore Signs of Heart Attack During COVID-19,0,0,0.0006000658,0.9993999
274,Disinfecting Your Facility if Someone is Sick,0,0,0.00050694967,0.999493
275,"See Acute Hepatitis? Consider COVID-19, NY Case Suggests",0,0,0.00027086184,0.9997291
276,Oregon Town Goes Door to Door Tracking COVID-19,0,0,0.00042627388,0.99957377
277,ÒYouÕre more likely to die of influenza right nowÓ than the 2019 coronavirus.,1,1,0.9991721,0.000827904
278,Biden campaign claims a top CDC official was Òsilenced.Ó,1,1,0.9992219,0.0007780185
279,"""What can I do to protect myself and prevent the spread of disease?""",0,0,0.00061559747,0.9993844
280,COMMENTARY: COVID-19 Diary Day 5: Facing Deployment,0,0,0.00021626797,0.9997837
281,"""How dangerous is the #2019nCoV? """,0,0,0.0011208075,0.99887913
282,COVID-19 and the Science of Social Distancing,0,0,0.0003539349,0.99964607
283,Rapid Infectious Disease Shifts in Chinese Children and Adolescents Prior to COVID-19,0,0,0.00029232193,0.99970764
284,Coronavirus: Virological Findings from Patients Treated in a Munich Hospital,0,0,0.00030009405,0.99969995
285,False-negative COVID-19 test results may lead to false sense of security,0,0,0.00030228787,0.9996977
286,"""Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?""",0,0,0.0007029001,0.999297
